nom,surnom,equipage,prime
Monkey D. Luffy,Straw Hat,Chapeaux de Paille,3000000000
Roronoa Zoro,Pirate Hunter,Chapeaux de Paille,1111000000
Nami,Cat Burglar,Chapeaux de Paille,366000000
Usopp,Sogeking/God,Chapeaux de Paille,500000000
Sanji,Black Leg,Chapeaux de Paille,1032000000
Tony Tony Chopper,Cotton Candy Lover,Chapeaux de Paille,1000
Nico Robin,Devil Child,Chapeaux de Paille,930000000
Franky,Cyborg,Chapeaux de Paille,394000000
Brook,Soul King,Chapeaux de Paille,383000000
Jinbe,Knight of the Sea,Chapeaux de Paille,1100000000
Cavendish,White Horse,Grande Flotte des Chapeaux de Paille,330000000
Suleiman,The Beheader,Grande Flotte des Chapeaux de Paille,67000000
Bartolomeo,The Cannibal,Grande Flotte des Chapeaux de Paille,200000000
Gambia,Missionary,Grande Flotte des Chapeaux de Paille,67000000
Sai,Don Sai,Grande Flotte des Chapeaux de Paille,210000000
Chinjao,The Drill,Grande Flotte des Chapeaux de Paille,542000000
Orlumbus,The Massacre Ruler,Grande Flotte des Chapeaux de Paille,148000000
Shanks,Red Hair,Pirates aux Cheveux Rouges,4048900000
Rockstar,,Pirates aux Cheveux Rouges,94000000
Dorry,The Blue Ogre,Pirates aux Cheveux Rouges,1800000000
Brogy,The Red Ogre,Pirates aux Cheveux Rouges,1800000000
Marshall D. Teach,Blackbeard,Pirates de Barbe Noire,3996000000
Jesus Burgess,The Champion,Pirates de Barbe Noire,20000000
Van Augur,Supersonic,Pirates de Barbe Noire,64000000
Laffitte,Demon Sheriff,Pirates de Barbe Noire,42200000
Doc Q,Death God,Pirates de Barbe Noire,72000000
Peachbeard,,Pirates de Barbe Noire,52000000
Buggy,The Clown,Cross Guild,3189000000
Dracule Mihawk,Hawk Eyes,Cross Guild,3590000000
Crocodile,Sir/Desert King,Cross Guild,1965000000
Daz Bonez,The Killer,Cross Guild,75000000
Galdino,Loan Shark,Cross Guild,24000000
Alvida,Iron-Mace,Cross Guild,5000000
Kinoko,,Cross Guild,100000000
Charlotte Linlin,Big Mom,Pirates de Big Mom,4388000000
Charlotte Katakuri,,Pirates de Big Mom,1057000000
Charlotte Smoothie,,Pirates de Big Mom,932000000
Charlotte Cracker,Thousand Arms,Pirates de Big Mom,860000000
Charlotte Perospero,,Pirates de Big Mom,700000000
Charlotte Snack,,Pirates de Big Mom,600000000
Charlotte Daifuku,,Pirates de Big Mom,300000000
Charlotte Oven,,Pirates de Big Mom,300000000
Charlotte Mont-d'Or,Scribe,Pirates de Big Mom,120000000
Pekoms,,Pirates de Big Mom,330000000
Tamago,Baron,Pirates de Big Mom,429000000
Bobbin,Sweeper,Pirates de Big Mom,105500000
Kaidou,of the Beasts,Pirates des Cent Bêtes,4611100000
King,The Conflagration,Pirates des Cent Bêtes,1390000000
Queen,The Plague,Pirates des Cent Bêtes,1320000000
Jack,The Drought,Pirates des Cent Bêtes,1000000000
Page One,,Pirates des Cent Bêtes,290000000
Ulti,,Pirates des Cent Bêtes,400000000
Who's-Who,Who of the Droplets,Pirates des Cent Bêtes,546000000
Black Maria,,Pirates des Cent Bêtes,480000000
Sasaki,,Pirates des Cent Bêtes,472000000
Scratchmen Apoo,Roar of the Sea,Pirates des Cent Bêtes,350000000
Basil Hawkins,The Magician,Pirates des Cent Bêtes,320000000
Edward Newgate,Whitebeard,Pirates de Barbe Blanche,5046000000
Marco,The Phoenix,Pirates de Barbe Blanche,1374000000
Portgas D. Ace,Fire Fist,Pirates de Barbe Blanche,550000000
Izou,,Pirates de Barbe Blanche,510000000
Squard,Maelstrom Spider,Pirates de Barbe Blanche,210000000
Little Oars Jr.,,Pirates de Barbe Blanche,550000000
Sabo,Flame Emperor,Armee Revolutionnaire,602000000
Emporio Ivankov,,Armee Revolutionnaire,100000000
Karasu,,Armee Revolutionnaire,400000000
Belo Betty,,Armee Revolutionnaire,457000000
Morley,,Armee Revolutionnaire,293000000
Lindbergh,,Armee Revolutionnaire,316000000
Ginny,,Armee Revolutionnaire,190000000
Inazuma,,Armee Revolutionnaire,100000000
Gol D. Roger,Pirate King,Pirates de Roger,5564800000
Bartholomew Kuma,The Tyrant,Grands Corsaires,296000000
Gecko Moria,,Grands Corsaires,320000000
Edward Weevil,Whitebeard Jr.,Grands Corsaires,480000000
Zala,Poison Spider,Baroque Works,35000000
Bentham,of the Wild,Baroque Works,32000000
Marianne,Flag-Bearer of Freedom,Baroque Works,29000000
Babe,Catcher-Killing,Baroque Works,3200000
