personnage,arc,prime
Luffy,East Blue,30000000
Luffy,Alabasta,100000000
Luffy,Enies Lobby,300000000
Luffy,Marineford,400000000
Luffy,Dressrosa,500000000
Luffy,Whole Cake Island,1500000000
Luffy,Wano,3000000000
Zoro,Alabasta,60000000
Zoro,Enies Lobby,120000000
Zoro,Dressrosa,320000000
Zoro,Wano,1111000000
Nami,Enies Lobby,16000000
Nami,Dressrosa,66000000
Nami,Wano,366000000
Usopp,Enies Lobby,30000000
Usopp,Dressrosa,200000000
Usopp,Wano,500000000
Sanji,Enies Lobby,77000000
Sanji,Dressrosa,177000000
Sanji,Whole Cake Island,330000000
Sanji,Wano,1032000000
Chopper,Enies Lobby,50
Chopper,Dressrosa,100
Chopper,Wano,1000
Robin,Passe,79000000
Robin,Enies Lobby,80000000
Robin,Dressrosa,130000000
Robin,Wano,930000000
Franky,Enies Lobby,44000000
Franky,Dressrosa,94000000
Franky,Wano,394000000
Brook,Passe,33000000
Brook,Dressrosa,83000000
Brook,Wano,383000000
Jinbe,Passe,250000000
Jinbe,Marineford,438000000
Jinbe,Wano,1100000000
